"protein1","protein2","combined_score","from","to"
"9606.ENSP00000324560","9606.ENSP00000354558",999,"ULK1","MTOR"
"9606.ENSP00000324804","9606.ENSP00000325074",999,"PPP2R1A","PPP2R2A"
"9606.ENSP00000324804","9606.ENSP00000399970",999,"PPP2R1A","PPP2R2D"
"9606.ENSP00000324804","9606.ENSP00000261461",999,"PPP2R1A","PPP2R5A"
"9606.ENSP00000324804","9606.ENSP00000418447",999,"PPP2R1A","PPP2CA"
"9606.ENSP00000324804","9606.ENSP00000337641",999,"PPP2R1A","PPP2R5E"
"9606.ENSP00000324804","9606.ENSP00000412324",999,"PPP2R1A","PPP2R5C"
"9606.ENSP00000324804","9606.ENSP00000375080",999,"PPP2R1A","PPP2R3B"
"9606.ENSP00000324804","9606.ENSP00000335083",999,"PPP2R1A","PPP2R2C"
"9606.ENSP00000324804","9606.ENSP00000417963",999,"PPP2R1A","PPP2R5D"
"9606.ENSP00000324804","9606.ENSP00000164133",999,"PPP2R1A","PPP2R5B"
"9606.ENSP00000324804","9606.ENSP00000221138",999,"PPP2R1A","PPP2CB"
"9606.ENSP00000324856","9606.ENSP00000258418",999,"STK11","CAB39"
"9606.ENSP00000324856","9606.ENSP00000336655",999,"STK11","STRADA"
"9606.ENSP00000325074","9606.ENSP00000324804",999,"PPP2R2A","PPP2R1A"
"9606.ENSP00000325074","9606.ENSP00000418447",999,"PPP2R2A","PPP2CA"
"9606.ENSP00000325074","9606.ENSP00000221138",999,"PPP2R2A","PPP2CB"
"9606.ENSP00000330393","9606.ENSP00000312652",999,"LEPR","LEP"
"9606.ENSP00000335083","9606.ENSP00000311344",999,"PPP2R2C","PPP2R1B"
"9606.ENSP00000335083","9606.ENSP00000324804",999,"PPP2R2C","PPP2R1A"
"9606.ENSP00000335083","9606.ENSP00000418447",999,"PPP2R2C","PPP2CA"
"9606.ENSP00000336655","9606.ENSP00000258418",999,"STRADA","CAB39"
"9606.ENSP00000336655","9606.ENSP00000324856",999,"STRADA","STK11"
"9606.ENSP00000337641","9606.ENSP00000324804",999,"PPP2R5E","PPP2R1A"
"9606.ENSP00000337641","9606.ENSP00000418447",999,"PPP2R5E","PPP2CA"
"9606.ENSP00000340691","9606.ENSP00000354558",999,"EIF4EBP1","MTOR"
"9606.ENSP00000340691","9606.ENSP00000307272",999,"EIF4EBP1","RPTOR"
"9606.ENSP00000346148","9606.ENSP00000254101",999,"PRKAA1","PRKAB2"
"9606.ENSP00000346148","9606.ENSP00000229328",999,"PRKAA1","PRKAB1"
"9606.ENSP00000346148","9606.ENSP00000323867",999,"PRKAA1","PRKAG1"
"9606.ENSP00000354558","9606.ENSP00000375711",999,"MTOR","AKT1S1"
"9606.ENSP00000354558","9606.ENSP00000307272",999,"MTOR","RPTOR"
"9606.ENSP00000354558","9606.ENSP00000225577",999,"MTOR","RPS6KB1"
"9606.ENSP00000354558","9606.ENSP00000451828",999,"MTOR","AKT1"
"9606.ENSP00000354558","9606.ENSP00000219476",999,"MTOR","TSC2"
"9606.ENSP00000354558","9606.ENSP00000324560",999,"MTOR","ULK1"
"9606.ENSP00000354558","9606.ENSP00000262187",999,"MTOR","RHEB"
"9606.ENSP00000354558","9606.ENSP00000340691",999,"MTOR","EIF4EBP1"
"9606.ENSP00000357622","9606.ENSP00000387699",999,"CRTC2","CREB1"
"9606.ENSP00000360290","9606.ENSP00000323867",999,"PRKAA2","PRKAG1"
"9606.ENSP00000360290","9606.ENSP00000254101",999,"PRKAA2","PRKAB2"
"9606.ENSP00000360290","9606.ENSP00000229328",999,"PRKAA2","PRKAB1"
"9606.ENSP00000360290","9606.ENSP00000287878",999,"PRKAA2","PRKAG2"
"9606.ENSP00000365016","9606.ENSP00000428056",999,"IRS2","PIK3R1"
"9606.ENSP00000366563","9606.ENSP00000428056",999,"PIK3CD","PIK3R1"
"9606.ENSP00000368880","9606.ENSP00000212015",999,"FOXO1","SIRT1"
"9606.ENSP00000375080","9606.ENSP00000324804",999,"PPP2R3B","PPP2R1A"
"9606.ENSP00000375080","9606.ENSP00000418447",999,"PPP2R3B","PPP2CA"
"9606.ENSP00000375711","9606.ENSP00000307272",999,"AKT1S1","RPTOR"
"9606.ENSP00000375711","9606.ENSP00000354558",999,"AKT1S1","MTOR"
"9606.ENSP00000380432","9606.ENSP00000268035",999,"INS","IGF1R"
"9606.ENSP00000380432","9606.ENSP00000303830",999,"INS","INSR"
"9606.ENSP00000385824","9606.ENSP00000212015",999,"FOXO3","SIRT1"
"9606.ENSP00000385824","9606.ENSP00000451828",999,"FOXO3","AKT1"
"9606.ENSP00000387699","9606.ENSP00000357622",999,"CREB1","CRTC2"
"9606.ENSP00000399970","9606.ENSP00000418447",999,"PPP2R2D","PPP2CA"
"9606.ENSP00000399970","9606.ENSP00000324804",999,"PPP2R2D","PPP2R1A"
"9606.ENSP00000412324","9606.ENSP00000324804",999,"PPP2R5C","PPP2R1A"
"9606.ENSP00000412324","9606.ENSP00000418447",999,"PPP2R5C","PPP2CA"
"9606.ENSP00000417963","9606.ENSP00000418447",999,"PPP2R5D","PPP2CA"
"9606.ENSP00000417963","9606.ENSP00000324804",999,"PPP2R5D","PPP2R1A"
"9606.ENSP00000417963","9606.ENSP00000221138",999,"PPP2R5D","PPP2CB"
"9606.ENSP00000418447","9606.ENSP00000399970",999,"PPP2CA","PPP2R2D"
"9606.ENSP00000418447","9606.ENSP00000325074",999,"PPP2CA","PPP2R2A"
"9606.ENSP00000418447","9606.ENSP00000261461",999,"PPP2CA","PPP2R5A"
"9606.ENSP00000418447","9606.ENSP00000324804",999,"PPP2CA","PPP2R1A"
"9606.ENSP00000418447","9606.ENSP00000412324",999,"PPP2CA","PPP2R5C"
"9606.ENSP00000418447","9606.ENSP00000337641",999,"PPP2CA","PPP2R5E"
"9606.ENSP00000418447","9606.ENSP00000375080",999,"PPP2CA","PPP2R3B"
"9606.ENSP00000418447","9606.ENSP00000335083",999,"PPP2CA","PPP2R2C"
"9606.ENSP00000418447","9606.ENSP00000417963",999,"PPP2CA","PPP2R5D"
"9606.ENSP00000418447","9606.ENSP00000311344",999,"PPP2CA","PPP2R1B"
"9606.ENSP00000418447","9606.ENSP00000164133",999,"PPP2CA","PPP2R5B"
"9606.ENSP00000428056","9606.ENSP00000289153",999,"PIK3R1","PIK3CB"
"9606.ENSP00000428056","9606.ENSP00000366563",999,"PIK3R1","PIK3CD"
"9606.ENSP00000428056","9606.ENSP00000304895",999,"PIK3R1","IRS1"
"9606.ENSP00000428056","9606.ENSP00000365016",999,"PIK3R1","IRS2"
"9606.ENSP00000428056","9606.ENSP00000263967",999,"PIK3R1","PIK3CA"
"9606.ENSP00000451828","9606.ENSP00000354558",999,"AKT1","MTOR"
"9606.ENSP00000451828","9606.ENSP00000385824",999,"AKT1","FOXO3"
"9606.ENSP00000212015","9606.ENSP00000287820",998,"SIRT1","PPARG"
"9606.ENSP00000221138","9606.ENSP00000311344",998,"PPP2CB","PPP2R1B"
"9606.ENSP00000262741","9606.ENSP00000289153",998,"PIK3R3","PIK3CB"
"9606.ENSP00000263967","9606.ENSP00000451828",998,"PIK3CA","AKT1"
"9606.ENSP00000264867","9606.ENSP00000312987",998,"PPARGC1A","HNF4A"
"9606.ENSP00000268035","9606.ENSP00000365016",998,"IGF1R","IRS2"
"9606.ENSP00000287820","9606.ENSP00000212015",998,"PPARG","SIRT1"
"9606.ENSP00000287878","9606.ENSP00000346148",998,"PRKAG2","PRKAA1"
"9606.ENSP00000289153","9606.ENSP00000262741",998,"PIK3CB","PIK3R3"
"9606.ENSP00000302665","9606.ENSP00000380432",998,"IGF1","INS"
"9606.ENSP00000311344","9606.ENSP00000324804",998,"PPP2R1B","PPP2R1A"
"9606.ENSP00000311344","9606.ENSP00000221138",998,"PPP2R1B","PPP2CB"
"9606.ENSP00000312987","9606.ENSP00000264867",998,"HNF4A","PPARGC1A"
"9606.ENSP00000324804","9606.ENSP00000377936",998,"PPP2R1A","PPP2R2B"
"9606.ENSP00000324804","9606.ENSP00000311344",998,"PPP2R1A","PPP2R1B"
"9606.ENSP00000341785","9606.ENSP00000389814",998,"ADIPOR1","ADIPOQ"
"9606.ENSP00000346148","9606.ENSP00000287878",998,"PRKAA1","PRKAG2"
"9606.ENSP00000349616","9606.ENSP00000389814",998,"ADIPOR2","ADIPOQ"
"9606.ENSP00000365016","9606.ENSP00000268035",998,"IRS2","IGF1R"
"9606.ENSP00000368880","9606.ENSP00000451828",998,"FOXO1","AKT1"
"9606.ENSP00000377936","9606.ENSP00000324804",998,"PPP2R2B","PPP2R1A"
"9606.ENSP00000380432","9606.ENSP00000302665",998,"INS","IGF1"
"9606.ENSP00000389814","9606.ENSP00000341785",998,"ADIPOQ","ADIPOR1"
"9606.ENSP00000389814","9606.ENSP00000349616",998,"ADIPOQ","ADIPOR2"
"9606.ENSP00000451828","9606.ENSP00000368880",998,"AKT1","FOXO1"
"9606.ENSP00000451828","9606.ENSP00000263967",998,"AKT1","PIK3CA"
"9606.ENSP00000264867","9606.ENSP00000368880",997,"PPARGC1A","FOXO1"
"9606.ENSP00000298552","9606.ENSP00000451828",997,"TSC1","AKT1"
"9606.ENSP00000302665","9606.ENSP00000304895",997,"IGF1","IRS1"
"9606.ENSP00000304592","9606.ENSP00000483300",997,"FASN","ACACA"
"9606.ENSP00000304895","9606.ENSP00000302665",997,"IRS1","IGF1"
"9606.ENSP00000304895","9606.ENSP00000380432",997,"IRS1","INS"
"9606.ENSP00000311344","9606.ENSP00000325074",997,"PPP2R1B","PPP2R2A"
"9606.ENSP00000325074","9606.ENSP00000311344",997,"PPP2R2A","PPP2R1B"
"9606.ENSP00000368880","9606.ENSP00000264867",997,"FOXO1","PPARGC1A"
"9606.ENSP00000380432","9606.ENSP00000304895",997,"INS","IRS1"
"9606.ENSP00000418447","9606.ENSP00000451828",997,"PPP2CA","AKT1"
"9606.ENSP00000451828","9606.ENSP00000418447",997,"AKT1","PPP2CA"
"9606.ENSP00000451828","9606.ENSP00000298552",997,"AKT1","TSC1"
"9606.ENSP00000483300","9606.ENSP00000304592",997,"ACACA","FASN"
"9606.ENSP00000219476","9606.ENSP00000451828",996,"TSC2","AKT1"
"9606.ENSP00000221138","9606.ENSP00000399970",996,"PPP2CB","PPP2R2D"
"9606.ENSP00000229328","9606.ENSP00000397133",996,"PRKAB1","PRKAG3"
"9606.ENSP00000262187","9606.ENSP00000340691",996,"RHEB","EIF4EBP1"
"9606.ENSP00000262741","9606.ENSP00000268035",996,"PIK3R3","IGF1R"
"9606.ENSP00000268035","9606.ENSP00000262741",996,"IGF1R","PIK3R3"
"9606.ENSP00000307272","9606.ENSP00000324560",996,"RPTOR","ULK1"
"9606.ENSP00000311344","9606.ENSP00000337641",996,"PPP2R1B","PPP2R5E"
"9606.ENSP00000311344","9606.ENSP00000412324",996,"PPP2R1B","PPP2R5C"
"9606.ENSP00000324560","9606.ENSP00000307272",996,"ULK1","RPTOR"
"9606.ENSP00000337641","9606.ENSP00000311344",996,"PPP2R5E","PPP2R1B"
"9606.ENSP00000340691","9606.ENSP00000262187",996,"EIF4EBP1","RHEB"
"9606.ENSP00000377936","9606.ENSP00000418447",996,"PPP2R2B","PPP2CA"
"9606.ENSP00000397133","9606.ENSP00000229328",996,"PRKAG3","PRKAB1"
"9606.ENSP00000399970","9606.ENSP00000221138",996,"PPP2R2D","PPP2CB"
"9606.ENSP00000412324","9606.ENSP00000311344",996,"PPP2R5C","PPP2R1B"
"9606.ENSP00000418447","9606.ENSP00000377936",996,"PPP2CA","PPP2R2B"
"9606.ENSP00000428056","9606.ENSP00000451828",996,"PIK3R1","AKT1"
"9606.ENSP00000451828","9606.ENSP00000428056",996,"AKT1","PIK3R1"
"9606.ENSP00000451828","9606.ENSP00000219476",996,"AKT1","TSC2"
"9606.ENSP00000222254","9606.ENSP00000366563",995,"PIK3R2","PIK3CD"
"9606.ENSP00000254101","9606.ENSP00000397133",995,"PRKAB2","PRKAG3"
"9606.ENSP00000303830","9606.ENSP00000428056",995,"INSR","PIK3R1"
"9606.ENSP00000311344","9606.ENSP00000417963",995,"PPP2R1B","PPP2R5D"
"9606.ENSP00000324856","9606.ENSP00000479669",995,"STK11","CAB39L"
"9606.ENSP00000325074","9606.ENSP00000412324",995,"PPP2R2A","PPP2R5C"
"9606.ENSP00000344220","9606.ENSP00000451828",995,"PDPK1","AKT1"
"9606.ENSP00000366563","9606.ENSP00000222254",995,"PIK3CD","PIK3R2"
"9606.ENSP00000397133","9606.ENSP00000254101",995,"PRKAG3","PRKAB2"
"9606.ENSP00000412324","9606.ENSP00000325074",995,"PPP2R5C","PPP2R2A"
"9606.ENSP00000417963","9606.ENSP00000311344",995,"PPP2R5D","PPP2R1B"
"9606.ENSP00000428056","9606.ENSP00000303830",995,"PIK3R1","INSR"
"9606.ENSP00000451828","9606.ENSP00000344220",995,"AKT1","PDPK1"
"9606.ENSP00000479669","9606.ENSP00000324856",995,"CAB39L","STK11"
"9606.ENSP00000219476","9606.ENSP00000307272",994,"TSC2","RPTOR"
"9606.ENSP00000221138","9606.ENSP00000337641",994,"PPP2CB","PPP2R5E"
"9606.ENSP00000221138","9606.ENSP00000412324",994,"PPP2CB","PPP2R5C"
"9606.ENSP00000225577","9606.ENSP00000304895",994,"RPS6KB1","IRS1"
"9606.ENSP00000225577","9606.ENSP00000262187",994,"RPS6KB1","RHEB"
"9606.ENSP00000262187","9606.ENSP00000225577",994,"RHEB","RPS6KB1"
"9606.ENSP00000304895","9606.ENSP00000225577",994,"IRS1","RPS6KB1"
"9606.ENSP00000304895","9606.ENSP00000354558",994,"IRS1","MTOR"
"9606.ENSP00000307272","9606.ENSP00000451828",994,"RPTOR","AKT1"
"9606.ENSP00000307272","9606.ENSP00000219476",994,"RPTOR","TSC2"
"9606.ENSP00000336655","9606.ENSP00000479669",994,"STRADA","CAB39L"
"9606.ENSP00000337641","9606.ENSP00000221138",994,"PPP2R5E","PPP2CB"
"9606.ENSP00000340691","9606.ENSP00000451828",994,"EIF4EBP1","AKT1"
"9606.ENSP00000354558","9606.ENSP00000304895",994,"MTOR","IRS1"
"9606.ENSP00000412324","9606.ENSP00000221138",994,"PPP2R5C","PPP2CB"
"9606.ENSP00000451828","9606.ENSP00000340691",994,"AKT1","EIF4EBP1"
"9606.ENSP00000451828","9606.ENSP00000307272",994,"AKT1","RPTOR"
"9606.ENSP00000479669","9606.ENSP00000336655",994,"CAB39L","STRADA"
"9606.ENSP00000194530","9606.ENSP00000324856",993,"STRADB","STK11"
"9606.ENSP00000194530","9606.ENSP00000258418",993,"STRADB","CAB39"
"9606.ENSP00000221138","9606.ENSP00000377936",993,"PPP2CB","PPP2R2B"
"9606.ENSP00000258418","9606.ENSP00000194530",993,"CAB39","STRADB"
"9606.ENSP00000262187","9606.ENSP00000451828",993,"RHEB","AKT1"
"9606.ENSP00000264977","9606.ENSP00000324804",993,"PPP2R3A","PPP2R1A"
"9606.ENSP00000289153","9606.ENSP00000451828",993,"PIK3CB","AKT1"
"9606.ENSP00000304592","9606.ENSP00000348069",993,"FASN","SREBF1"
"9606.ENSP00000311344","9606.ENSP00000399970",993,"PPP2R1B","PPP2R2D"
"9606.ENSP00000324804","9606.ENSP00000264977",993,"PPP2R1A","PPP2R3A"
"9606.ENSP00000324804","9606.ENSP00000451828",993,"PPP2R1A","AKT1"
"9606.ENSP00000324856","9606.ENSP00000194530",993,"STK11","STRADB"
"9606.ENSP00000348069","9606.ENSP00000304592",993,"SREBF1","FASN"
"9606.ENSP00000375892","9606.ENSP00000385824",993,"AKT2","FOXO3"
"9606.ENSP00000377936","9606.ENSP00000221138",993,"PPP2R2B","PPP2CB"
"9606.ENSP00000385824","9606.ENSP00000375892",993,"FOXO3","AKT2"
"9606.ENSP00000399970","9606.ENSP00000311344",993,"PPP2R2D","PPP2R1B"
"9606.ENSP00000451828","9606.ENSP00000262187",993,"AKT1","RHEB"
"9606.ENSP00000451828","9606.ENSP00000324804",993,"AKT1","PPP2R1A"
"9606.ENSP00000451828","9606.ENSP00000289153",993,"AKT1","PIK3CB"
"9606.ENSP00000263026","9606.ENSP00000307940",992,"EEF2K","EEF2"
"9606.ENSP00000263826","9606.ENSP00000385824",992,"AKT3","FOXO3"
"9606.ENSP00000264867","9606.ENSP00000385824",992,"PPARGC1A","FOXO3"
"9606.ENSP00000307940","9606.ENSP00000263026",992,"EEF2","EEF2K"
"9606.ENSP00000375711","9606.ENSP00000451828",992,"AKT1S1","AKT1"
"9606.ENSP00000385824","9606.ENSP00000263826",992,"FOXO3","AKT3"
"9606.ENSP00000385824","9606.ENSP00000264867",992,"FOXO3","PPARGC1A"
"9606.ENSP00000451828","9606.ENSP00000375711",992,"AKT1","AKT1S1"
"9606.ENSP00000221138","9606.ENSP00000261461",991,"PPP2CB","PPP2R5A"
"9606.ENSP00000261461","9606.ENSP00000221138",991,"PPP2R5A","PPP2CB"
"9606.ENSP00000268035","9606.ENSP00000428056",991,"IGF1R","PIK3R1"
"9606.ENSP00000346148","9606.ENSP00000397133",991,"PRKAA1","PRKAG3"
"9606.ENSP00000397133","9606.ENSP00000346148",991,"PRKAG3","PRKAA1"
"9606.ENSP00000428056","9606.ENSP00000268035",991,"PIK3R1","IGF1R"
"9606.ENSP00000348069","9606.ENSP00000359380",990,"SREBF1","SCD"
"9606.ENSP00000359380","9606.ENSP00000348069",990,"SCD","SREBF1"
"9606.ENSP00000380432","9606.ENSP00000451828",990,"INS","AKT1"
"9606.ENSP00000451828","9606.ENSP00000380432",990,"AKT1","INS"
"9606.ENSP00000263967","9606.ENSP00000268035",989,"PIK3CA","IGF1R"
"9606.ENSP00000268035","9606.ENSP00000263967",989,"IGF1R","PIK3CA"
"9606.ENSP00000287820","9606.ENSP00000389814",989,"PPARG","ADIPOQ"
"9606.ENSP00000298552","9606.ENSP00000307272",989,"TSC1","RPTOR"
"9606.ENSP00000298552","9606.ENSP00000354558",989,"TSC1","MTOR"
"9606.ENSP00000304895","9606.ENSP00000307272",989,"IRS1","RPTOR"
"9606.ENSP00000307272","9606.ENSP00000304895",989,"RPTOR","IRS1"
"9606.ENSP00000307272","9606.ENSP00000298552",989,"RPTOR","TSC1"
"9606.ENSP00000311344","9606.ENSP00000377936",989,"PPP2R1B","PPP2R2B"
"9606.ENSP00000354558","9606.ENSP00000298552",989,"MTOR","TSC1"
"9606.ENSP00000377936","9606.ENSP00000311344",989,"PPP2R2B","PPP2R1B"
"9606.ENSP00000389814","9606.ENSP00000287820",989,"ADIPOQ","PPARG"
"9606.ENSP00000261461","9606.ENSP00000325074",988,"PPP2R5A","PPP2R2A"
"9606.ENSP00000263967","9606.ENSP00000365016",988,"PIK3CA","IRS2"
"9606.ENSP00000287936","9606.ENSP00000348069",988,"HMGCR","SREBF1"
"9606.ENSP00000304592","9606.ENSP00000341044",988,"FASN","ACACB"
"9606.ENSP00000325074","9606.ENSP00000261461",988,"PPP2R2A","PPP2R5A"
"9606.ENSP00000341044","9606.ENSP00000304592",988,"ACACB","FASN"
"9606.ENSP00000346148","9606.ENSP00000483300",988,"PRKAA1","ACACA"
"9606.ENSP00000348069","9606.ENSP00000483300",988,"SREBF1","ACACA"
"9606.ENSP00000348069","9606.ENSP00000287936",988,"SREBF1","HMGCR"
"9606.ENSP00000365016","9606.ENSP00000263967",988,"IRS2","PIK3CA"
"9606.ENSP00000483300","9606.ENSP00000346148",988,"ACACA","PRKAA1"
"9606.ENSP00000483300","9606.ENSP00000348069",988,"ACACA","SREBF1"
"9606.ENSP00000269848","9606.ENSP00000345771",987,"PFKL","PFKM"
"9606.ENSP00000345771","9606.ENSP00000269848",987,"PFKM","PFKL"
"9606.ENSP00000219476","9606.ENSP00000346148",986,"TSC2","PRKAA1"
"9606.ENSP00000225577","9606.ENSP00000263967",986,"RPS6KB1","PIK3CA"
"9606.ENSP00000263967","9606.ENSP00000225577",986,"PIK3CA","RPS6KB1"
"9606.ENSP00000287820","9606.ENSP00000348069",986,"PPARG","SREBF1"
"9606.ENSP00000302665","9606.ENSP00000365016",986,"IGF1","IRS2"
"9606.ENSP00000346148","9606.ENSP00000219476",986,"PRKAA1","TSC2"
"9606.ENSP00000348069","9606.ENSP00000287820",986,"SREBF1","PPARG"
"9606.ENSP00000365016","9606.ENSP00000302665",986,"IRS2","IGF1"
"9606.ENSP00000387699","9606.ENSP00000451828",986,"CREB1","AKT1"
"9606.ENSP00000451828","9606.ENSP00000387699",986,"AKT1","CREB1"
"9606.ENSP00000225577","9606.ENSP00000375711",985,"RPS6KB1","AKT1S1"
"9606.ENSP00000308413","9606.ENSP00000354558",985,"RPS6KB2","MTOR"
"9606.ENSP00000354558","9606.ENSP00000308413",985,"MTOR","RPS6KB2"
"9606.ENSP00000375711","9606.ENSP00000225577",985,"AKT1S1","RPS6KB1"
"9606.ENSP00000225577","9606.ENSP00000344220",984,"RPS6KB1","PDPK1"
"9606.ENSP00000262741","9606.ENSP00000366563",984,"PIK3R3","PIK3CD"
"9606.ENSP00000264867","9606.ENSP00000387699",984,"PPARGC1A","CREB1"
"9606.ENSP00000287820","9606.ENSP00000312652",984,"PPARG","LEP"
"9606.ENSP00000289153","9606.ENSP00000304895",984,"PIK3CB","IRS1"
"9606.ENSP00000304895","9606.ENSP00000289153",984,"IRS1","PIK3CB"
"9606.ENSP00000312652","9606.ENSP00000287820",984,"LEP","PPARG"
"9606.ENSP00000344220","9606.ENSP00000225577",984,"PDPK1","RPS6KB1"
